
28 Marzo;Gp Bahrain, Sakhir;12:30;16:00;13:00;16:00;17:00
18 Aprile;Gp Emilia Romagna, Imola;11:30;15:00;12:00;15:00;15:00
02 Maggio;Gp Portogallo, Portimao;12:30;16:00;13:00;16:00;16:00
09 Maggio;Gp Spagna, Barcellona;11:30;15:00;12:00;15:00;15:00
23 Maggio;Gp Monaco, Monte Carlo;11:30;15:00;12:00;15:00;15:00
06 Giugno;Gp Azerbaijan, Baku;10:30;14:00;11:00;14:00;13:00
13 Giugno;Gp Canada, Montreal;16:30;21:00;17:00;19:00;19:00
27 Giugno;Gp Francia, Le Castellet;11:30;15:00;12:00;15:00;15:00
04 Luglio;Gp Austria, Spielberg;11:30;15:00;12:00;15:00;15:00
18 Luglio;Gp Gran Bretagna, Silverstone;11:30;15:00;12:00;15:00;15:00
01 Agosto;Gp Ungheria, Budapest;11:30;15:00;12:00;15:00;15:00
29 Agosto;Gp Belgio, Spa;11:30;15:00;12:00;15:00;15:00
05 Settembre;Gp Olanda, Zandvoort;11:30;15:00;12:00;15:00;15:00
12 Settembre;Gp Italia, Monza;11:00;15:00;12:00;15:00;15:00
26 Settembre;Gp Russia, Sochi;11:30;15:00;12:00;15:00;15:00
03 Ottobre;Gp Singapore, Singapore;10:00;13:30;11:00;14:00;13:00
10 Ottobre;Gp Giappone, Suzuka;03:30;07:00;04:00;07:00;06:00
24 Ottobre;Gp USA, Austin;17:30;21:00;18:00;22:00;20:00
31 Ottobre;Gp Messico, Città del Messico;17:30;21:00;17:00;20:00;20:00
07 Novembre;Gp Brasile, Interlagos;15:30;19:00;16:00;19:00;18:00
21 Novembre;Gp Australia, Melbourne;02:30;06:00;04:00;07:00;07:00
05 Dicembre;Gp Arabia Saudita;13:30;17:00;14:00;17:00;07:00
12 Dicembre;Gp Abu Dhabi, Abu Dhabi;10:30;14:00;11:00;14:00;14:00
